label_set,asset,regime,mean,vol,sharpe,max_drawdown,anova_p,observations
GMM,US30Y_BOND_FUT,Regime_0,0.002258903259568431,0.026275303626886296,0.08597058635916201,-0.16556494738021477,0.18710517464082116,122
GMM,US30Y_BOND_FUT,Regime_3,-0.0009921317315958655,0.030651475311346682,-0.03236815590499797,-0.39962283559060496,0.18710517464082116,158
GMM,US30Y_BOND_FUT,Regime_1,0.004487888509665555,0.0506360512769712,0.08863030185978592,-0.14261454575198085,0.18710517464082116,16
GMM,US30Y_BOND_FUT,Regime_2,0.03475665087589356,0.02520359579818944,1.3790354024956386,0.0,0.18710517464082116,3
GMM,US10Y_NOTE_FUT,Regime_0,0.0008227499829966528,0.016159897085186288,0.05091307071199509,-0.1329631381171914,0.3935347594326347,122
GMM,US10Y_NOTE_FUT,Regime_3,-0.00023850930148825347,0.017162151623442534,-0.013897400904118758,-0.24205242610150568,0.3935347594326347,158
GMM,US10Y_NOTE_FUT,Regime_1,0.0029407987817138964,0.026848424985822524,0.10953338168875096,-0.07542246520874751,0.3935347594326347,16
GMM,US10Y_NOTE_FUT,Regime_2,0.015857297695447043,0.005695979980718654,2.783945475427452,0.0,0.3935347594326347,3
GMM,US5Y_NOTE_FUT,Regime_0,0.00020157632122713983,0.009837472323508829,0.02049066209268293,-0.11176689908456938,0.2980617194747384,122
GMM,US5Y_NOTE_FUT,Regime_3,-5.5785680114713674e-05,0.011564935363334168,-0.004823691474452882,-0.17164271555996147,0.2980617194747384,158
GMM,US5Y_NOTE_FUT,Regime_1,0.0032611329285843274,0.015578753332285932,0.20933208575976653,-0.03318931657502033,0.2980617194747384,16
GMM,US5Y_NOTE_FUT,Regime_2,0.010209727497975626,0.0029770829784561436,3.429440016237031,0.0,0.2980617194747384,3
GMM,BTC,Regime_0,-0.053757298019342516,0.14887527293314376,-0.361089501031401,-0.15303389354919228,0.41379133471165763,3
GMM,BTC,Regime_3,0.06489136634221476,0.21251586176843407,0.3053483434235278,-0.7557435061741203,0.41379133471165763,124
GMM,BTC,Regime_1,0.1606197489610149,0.16596494724875147,0.9677932094918509,-0.034146858566219795,0.41379133471165763,4
Regime_Ensemble,SPX,Regime_2,0.0062551022222189605,0.043602908140960316,0.14345607870918486,-0.5255585947031325,0.2953315867606769,269
Regime_Ensemble,SPX,Regime_0,0.01072180506528123,0.04063558445512019,0.2638526111793196,-0.24769522239058828,0.2953315867606769,158
Regime_Ensemble,NDX,Regime_2,0.012499429583284776,0.0763534773531652,0.1637047848583234,-0.810697967841101,0.6809120377262974,269
Regime_Ensemble,NDX,Regime_0,0.01528965943888319,0.0493616661788536,0.30974763662725063,-0.3296748721050482,0.6809120377262974,158
Regime_Ensemble,GOLD,Regime_2,0.013730632645959702,0.05161353256965012,0.26602776369609726,-0.2626272957563709,0.13186165226109278,142
Regime_Ensemble,GOLD,Regime_0,0.005614810697304022,0.04126783832854338,0.1360577855472617,-0.40133246940091916,0.13186165226109278,158
Regime_Ensemble,US30Y_BOND_FUT,Regime_2,0.0033661139977722303,0.03131103869177983,0.10750566376630442,-0.16423316355404693,0.20134296840712385,141
Regime_Ensemble,US30Y_BOND_FUT,Regime_0,-0.0011374463343566653,0.02947961284182339,-0.03858416799636339,-0.39962283559060463,0.20134296840712385,158
Regime_Ensemble,US10Y_NOTE_FUT,Regime_2,0.0022165154835533623,0.019456634118032074,0.11392080819873844,-0.11929133858267682,0.11147160241639764,141
Regime_Ensemble,US10Y_NOTE_FUT,Regime_0,-0.00098236064111907,0.015112947768153676,-0.06500125959471131,-0.24205242610150568,0.11147160241639764,158
Regime_Ensemble,US5Y_NOTE_FUT,Regime_2,0.00156784200878269,0.012459395192744789,0.12583612483017295,-0.11176689908456894,0.06877244011936268,141
Regime_Ensemble,US5Y_NOTE_FUT,Regime_0,-0.0007751913933892206,0.009669747570251018,-0.0801666628583043,-0.17164271555996025,0.06877244011936268,158
Regime_Ensemble,BTC,Regime_0,0.0650972254062646,0.2105102116639918,0.30923547552253783,-0.7557435061741204,,131
