Date,SPX,NDX,GOLD,US30Y_BOND_FUT,US10Y_NOTE_FUT,US5Y_NOTE_FUT,BTC
1990-02-28,0.008539042758088922,0.029587950740271207,,,,,
1990-03-31,0.024254986404143253,0.025154563909350003,,,,,
1990-04-30,-0.02688714062127162,-0.03438974258896932,,,,,
1990-05-31,0.09198919079889456,0.14738960277550328,,,,,
1990-06-30,-0.008886365681221697,0.009781972801555128,,,,,
1990-07-31,-0.005223158411739148,-0.06321819920570604,,,,,
1990-08-31,-0.09431418479162912,-0.13326763097671213,,,,,
1990-09-30,-0.051184306456431905,-0.0855306270048759,,,,,
1990-10-31,-0.006698212301042394,-0.025415832290255125,,,,,
1990-11-30,0.05993421454178649,0.11605001306974083,,,,,
1990-12-31,0.024827757338752088,0.04128152909260274,,,,,
1991-01-31,0.0415177499981747,0.1590535304773255,,,,,
1991-02-28,0.06728117681278034,0.07611058280793892,,,,,
1991-03-31,0.022202832522042026,0.059132770770672805,,,,,
1991-04-30,0.0003197993624997064,-0.004718672753478037,,,,,
1991-05-31,0.0386049724936075,0.05820106310045081,,,,,
1991-06-30,-0.04789262897479862,-0.08890678378416217,,,,,
1991-07-31,0.04485934295776639,0.07065438320025952,,,,,
1991-08-31,0.019648784624321625,0.05603424544249114,,,,,
1991-09-30,-0.019143735843086374,0.00045234036765084973,,,,,
1991-10-31,0.011834236654519215,0.01728485630411636,,,,,
1991-11-30,-0.04390370862630699,-0.026375604550703424,,,,,
1991-12-31,0.11158785507428148,0.16175076744007377,,,,,
1992-01-31,-0.019923751783923582,0.022547615140658728,,,,,
1992-02-29,0.00958954312696414,0.02236082463625433,,,,,
1992-03-31,-0.02183186212532784,-0.06600559953611307,,,,,
1992-04-30,0.027892713957560433,-0.04702059438287609,,,,,
1992-05-31,0.0009639568254424802,0.024150680276559422,,,,,
1992-06-30,-0.017358833150663777,-0.04460902279582024,,,,,
1992-07-31,0.039373686063305824,0.03208504357084929,,,,,
1992-08-31,-0.02399753160189122,-0.03742414531980509,,,,,
1992-09-30,0.009105593857418715,0.046531401919937654,,,,,
1992-10-31,0.002106282691536565,0.05099222933791814,,,,,
1992-11-30,0.03026180770368403,0.0662453639065097,,,,,
1992-12-31,0.010107766987062838,0.026285064759857146,,,,,
1993-01-31,0.007045987892006611,0.028804642254185664,,,,,
1993-02-28,0.010483627595407663,-0.05240712175653961,,,,,
1993-03-31,0.01869729905188877,0.02358033386649727,,,,,
1993-04-30,-0.025416810160156622,-0.05418453446090954,,,,,
1993-05-31,0.02271746278774489,0.08285157134395482,,,,,
1993-06-30,0.0007552285391652092,-0.005392370298422433,,,,,
1993-07-31,-0.00532704570835929,-0.036217165628200765,,,,,
1993-08-31,0.03443195614588723,0.05606961361898799,,,,,
1993-09-30,-0.009987930164805148,0.027009265010754735,,,,,
1993-10-31,0.019392922751884534,0.02160874042774763,,,,,
1993-11-30,-0.01291062608362914,-0.010805979114871911,,,,,
1993-12-31,0.010091174724184304,0.029785884586808642,,,,,
1994-01-31,0.032500745519977725,0.03944459049720872,,,,,
1994-02-28,-0.030044997286678532,-0.004396185534848995,,,,,
1994-03-31,-0.04574651060635082,-0.07086886726605024,,,,,
1994-04-30,0.011530643100964522,-0.0253551067258605,,,,,
1994-05-31,0.012397144202814125,0.015003365314174566,,,,,
1994-06-30,-0.026790823628320082,-0.04896401745201062,,,,,
1994-07-31,0.03148990725890011,0.02736612879045186,,,,,
1994-08-31,0.03759869964992624,0.07494053911804244,,,,,
1994-09-30,-0.026877534841474704,-0.010178406270652918,,,,,
1994-10-31,0.020833815622011143,0.04874947668378815,,,,,
1994-11-30,-0.03950461187888721,-0.019924901856854804,,,,,
1994-12-31,0.012299117331743048,-0.0013586737330063547,,,,,
1995-01-31,0.024277711761677034,0.002622004074999351,,,,,
1995-02-28,0.03607414807259257,0.06703183659689649,,,,,
1995-03-31,0.027329195113380722,0.033872818257767445,,,,,
1995-04-30,0.027960357804911462,0.05011741913899548,,,,,
1995-05-31,0.03631171269946476,0.03948379044492256,,,,,
1995-06-30,0.021278543431649366,0.10229465799836568,,,,,
1995-07-31,0.03177603957520647,0.057338761604540656,,,,,
1995-08-31,-0.0003202374774278205,0.013869382964273536,,,,,
1995-09-30,0.04009747288732535,0.01440781815488168,,,,,
1995-10-31,-0.004979335189770229,0.023415621465204595,,,,,
1995-11-30,0.04104900278106194,-0.008450613491054249,,,,,
1995-12-31,0.01744387340596476,-0.02945831553158318,,,,,
1996-01-31,0.03261738686923121,0.027055216465458054,,,,,
1996-02-29,0.006933701784703983,0.052397704338908335,,,,,
1996-03-31,0.007916567590839696,-0.021097272591057648,,,,,
1996-04-30,0.01343142201418468,0.0935557050286806,,,,,
1996-05-31,0.022853405991703157,0.0384863961894244,,,,,
1996-06-30,0.0022567099722681228,-0.02179411391877273,,,,,
1996-07-31,-0.045748016719207696,-0.06096261445669027,,,,,
1996-08-31,0.01881393514756069,0.04333264749834642,,,,,
1996-09-30,0.05420332732833044,0.11151799988428923,,,,,
1996-10-31,0.026101002422918018,0.01955066334986899,,,,,
1996-11-30,0.07337615178140577,0.10907062673226076,,,,,
1996-12-31,-0.021505414489508046,-0.015167712936224098,,,,,
1997-01-31,0.061317039054128886,0.12198062266026066,,,,,
1997-02-28,0.0059275902346540565,-0.07714173594702844,,,,,
1997-03-31,-0.04261401064074877,-0.06278957626979365,,,,,
1997-04-30,0.05840557906734034,0.09745814984281753,,,,,
1997-05-31,0.05857688480332501,0.09615427017235878,,,,,
1997-06-30,0.043452614795275846,-0.001616507099582054,,,,,
